Player,Player_ID,Height,Weight,Birth_Date,Club,Player_URL,Photo
Millie Bright,22fccf20,178cm,76kg,"August 21, 1993",Chelsea,https://fbref.com/en/players/22fccf20/,https://fbref.com/req/202302030/images/headshots/22fccf20_2022.jpg
Lucy Bronze,5056c581,172cm,64kg,"October 28, 1991",Chelsea,https://fbref.com/en/players/5056c581/,https://fbref.com/req/202302030/images/headshots/5056c581_2022.jpg
Courtney Brosnan,1cd91ff2,175cm,81kg,"November 10, 1995",Everton,https://fbref.com/en/players/1cd91ff2/,https://fbref.com/req/202302030/images/headshots/1cd91ff2_2022.jpg
Dagný Brynjarsdóttir,e483bd89,180cm,,"August 10, 1991",West Ham United,https://fbref.com/en/players/e483bd89/,https://fbref.com/req/202302030/images/headshots/e483bd89_2022.jpg
Kadeisha Buchanan,8da78a89,170cm,64kg,"November 5, 1995",Chelsea,https://fbref.com/en/players/8da78a89/,https://fbref.com/req/202302030/images/headshots/8da78a89_2022.jpg
Luana Bühler,c539c765,171cm,,"April 28, 1996",Tottenham Hotspur,https://fbref.com/en/players/c539c765/,https://fbref.com/req/202302030/images/headshots/c539c765_2022.jpg
Hannah Cain,73b140ea,164cm,,"February 11, 1999",Leicester City,https://fbref.com/en/players/73b140ea/,media/logos/silueta.jpg
Mariona Caldentey,59da315a,164cm,60kg,"March 19, 1996",Arsenal,https://fbref.com/en/players/59da315a/,https://fbref.com/req/202302030/images/headshots/59da315a_2022.jpg
Jelena Čanković,832cd881,162cm,50kg,"August 13, 1995",Brighton & Hove Albion,https://fbref.com/en/players/832cd881/,https://fbref.com/req/202302030/images/headshots/832cd881_2022.jpg
Jorelyn Carabalí,aec544bc,170cm,,"May 18, 1997",Brighton & Hove Albion,https://fbref.com/en/players/aec544bc/,https://fbref.com/req/202302030/images/headshots/aec544bc_2022.jpg
Kerstin Casparij,c53d044d,171cm,,"August 19, 2000",Manchester City,https://fbref.com/en/players/c53d044d/,https://fbref.com/req/202302030/images/headshots/c53d044d_2022.jpg
Steph Catley,9ef5bf48,171cm,59kg,"January 26, 1994",Arsenal,https://fbref.com/en/players/9ef5bf48/,https://fbref.com/req/202302030/images/headshots/9ef5bf48_2022.jpg
My Cato,6622be45,,,"April 24, 2002",Crystal Palace,https://fbref.com/en/players/6622be45/,media/logos/silueta.jpg
Janice Cayman,1722c1c3,167cm,60kg,"October 12, 1988",Leicester City,https://fbref.com/en/players/1722c1c3/,https://fbref.com/req/202302030/images/headshots/1722c1c3_2022.jpg
Niamh Charles,cf19f181,172cm,63kg,"June 21, 1999",Chelsea,https://fbref.com/en/players/cf19f181/,https://fbref.com/req/202302030/images/headshots/cf19f181_2022.jpg
Shana Chossenotte,e2d168d8,,,,,https://fbref.com/en/players/e2d168d8/,media/logos/silueta.jpg
Jenna Clark,1a993b0e,168cm,59kg,"September 29, 2001",Liverpool,https://fbref.com/en/players/1a993b0e/,https://fbref.com/req/202302030/images/headshots/1a993b0e_2022.jpg
Grace Clinton,71657eba,,,"March 31, 2003",Manchester United,https://fbref.com/en/players/71657eba/,https://fbref.com/req/202302030/images/headshots/71657eba_2022.jpg
Laia Codina,1efbd058,165cm,,"January 22, 2000",Arsenal,https://fbref.com/en/players/1efbd058/,https://fbref.com/req/202302030/images/headshots/1efbd058_2022.jpg
Shannon Cooke,30f46e9b,,,"February 2, 2000",West Ham United,https://fbref.com/en/players/30f46e9b/,https://fbref.com/req/202302030/images/headshots/30f46e9b_2022.jpg
Laura Coombs,dfe6be0f,160cm,58kg,"January 29, 1991",Manchester City,https://fbref.com/en/players/dfe6be0f/,https://fbref.com/req/202302030/images/headshots/dfe6be0f_2022.jpg
Kyra Cooney-Cross,37b0f944,165cm,,"February 15, 2002",Arsenal,https://fbref.com/en/players/37b0f944/,https://fbref.com/req/202302030/images/headshots/37b0f944_2022.jpg
Erin Cuthbert,76a887a9,159cm,59kg,"July 19, 1998",Chelsea,https://fbref.com/en/players/76a887a9/,https://fbref.com/req/202302030/images/headshots/76a887a9_2022.jpg
Sabrina D'Angelo,b14d2016,173cm,71kg,"May 11, 1993",Aston Villa,https://fbref.com/en/players/b14d2016/,https://fbref.com/req/202302030/images/headshots/b14d2016_2022.jpg
Kenza Dali,1cb43c5f,165cm,60kg,"July 31, 1991",San Diego Wave,https://fbref.com/en/players/1cb43c5f/,https://fbref.com/req/202302030/images/headshots/1cb43c5f_2022.jpg
Rachel Daly,7fa35ec9,167cm,67kg,"December 6, 1991",Aston Villa,https://fbref.com/en/players/7fa35ec9/,https://fbref.com/req/202302030/images/headshots/7fa35ec9_2022.jpg
Yana Daniels,b33b4a16,170cm,53kg,"May 8, 1992",Liverpool,https://fbref.com/en/players/b33b4a16/,https://fbref.com/req/202302030/images/headshots/b33b4a16_2022.jpg
Anouk Denton,27356e72,,,"May 9, 2003",West Ham United,https://fbref.com/en/players/27356e72/,media/logos/silueta.jpg
Daphne van Domselaar,20dcbb3f,176cm,,"March 6, 2000",Arsenal,https://fbref.com/en/players/20dcbb3f/,https://fbref.com/req/202302030/images/headshots/20dcbb3f_2022.jpg
Maddy Duffy,993d2ee9,,,,Liverpool,https://fbref.com/en/players/993d2ee9/,media/logos/silueta.jpg
Hlín Eiríksdóttir,a310ed8e,,,"June 12, 2000",Leicester City,https://fbref.com/en/players/a310ed8e/,media/logos/silueta.jpg
Mia Enderby,29ef9b4c,,,"May 31, 2005",Liverpool,https://fbref.com/en/players/29ef9b4c/,media/logos/silueta.jpg
Bethany England,ccb1bd8b,,,,,https://fbref.com/en/players/ccb1bd8b/,media/logos/silueta.jpg
Gemma Evans,58e461be,170cm,58kg,"August 1, 1996",Liverpool,https://fbref.com/en/players/58e461be/,media/logos/silueta.jpg
Aimee Everett,2cc7324e,,,"August 2, 2001",Crystal Palace,https://fbref.com/en/players/2cc7324e/,media/logos/silueta.jpg
Niamh Fahey,cb226c03,171cm,,"October 13, 1987",Liverpool,https://fbref.com/en/players/cb226c03/,https://fbref.com/req/202302030/images/headshots/cb226c03_2022.jpg
Martina Fernández,ca242c8b,,,"October 1, 2004",Everton,https://fbref.com/en/players/ca242c8b/,https://fbref.com/req/202302030/images/headshots/ca242c8b_2022.jpg
Megan Finnigan,7de2938e,175cm,,"April 2, 1998",Everton,https://fbref.com/en/players/7de2938e/,media/logos/silueta.jpg
Mia Fishel,c4ebeea2,165cm,,"April 30, 2001",Chelsea,https://fbref.com/en/players/c4ebeea2/,media/logos/silueta.jpg
Grace Fisk,3978f8a9,172cm,58kg,"January 5, 1998",Liverpool,https://fbref.com/en/players/3978f8a9/,media/logos/silueta.jpg
Caitlin Foord,019544ff,165cm,58kg,"November 11, 1994",Arsenal,https://fbref.com/en/players/019544ff/,https://fbref.com/req/202302030/images/headshots/019544ff_2022.jpg
Mary Fowler,ecd93ef2,172cm,58kg,"February 14, 2003",Manchester City,https://fbref.com/en/players/ecd93ef2/,https://fbref.com/req/202302030/images/headshots/ecd93ef2_2022.jpg
Emily Fox,2eb9f54a,165cm,,"July 5, 1998",Arsenal,https://fbref.com/en/players/2eb9f54a/,https://fbref.com/req/202302030/images/headshots/2eb9f54a_2022.jpg
Aoba Fujino,5e7e0a62,160cm,53kg,"January 27, 2004",Manchester City,https://fbref.com/en/players/5e7e0a62/,https://fbref.com/req/202302030/images/headshots/5e7e0a62_2022.jpg
Inma Gabarro,68c02e30,166cm,,"November 5, 2002",Everton,https://fbref.com/en/players/68c02e30/,media/logos/silueta.jpg
Gabi Nunes,8ce35340,171cm,,"March 10, 1997",Aston Villa,https://fbref.com/en/players/8ce35340/,https://fbref.com/req/202302030/images/headshots/8ce35340_2022.jpg
Kelly Gago,eb2eb4a0,178cm,68kg,"January 5, 1999",Everton,https://fbref.com/en/players/eb2eb4a0/,media/logos/silueta.jpg
Aurora Galli,cc516d17,168cm,,"December 13, 1996",Everton,https://fbref.com/en/players/cc516d17/,https://fbref.com/req/202302030/images/headshots/cc516d17_2022.jpg
Leah Galton,c3d37cec,170cm,,"May 24, 1994",Manchester United,https://fbref.com/en/players/c3d37cec/,media/logos/silueta.jpg
Mille Gejl,d9f0c19a,175cm,,"September 23, 1999",Crystal Palace,https://fbref.com/en/players/d9f0c19a/,https://fbref.com/req/202302030/images/headshots/d9f0c19a_2022.jpg
Gabrielle George,a706e82f,,,"February 2, 1997",Manchester United,https://fbref.com/en/players/a706e82f/,media/logos/silueta.jpg
Geyse,5b5de127,169cm,,"March 27, 1998",Manchester United,https://fbref.com/en/players/5b5de127/,https://fbref.com/req/202302030/images/headshots/5b5de127_2022.jpg
Felicity Gibbons,6357bee3,,,"July 9, 1994",Crystal Palace,https://fbref.com/en/players/6357bee3/,media/logos/silueta.jpg
Naomi Girma,57b8b79c,165cm,,"June 14, 2000",Chelsea,https://fbref.com/en/players/57b8b79c/,https://fbref.com/req/202302030/images/headshots/57b8b79c_2022.jpg
Missy Goodwin,7f563c66,,,"January 27, 2003",Leicester City,https://fbref.com/en/players/7f563c66/,media/logos/silueta.jpg
Katrina Gorry,9290a41c,154cm,52kg,"August 13, 1992",West Ham United,https://fbref.com/en/players/9290a41c/,https://fbref.com/req/202302030/images/headshots/9290a41c_2022.jpg
Lucy Graham,1691b0ef,165cm,,"October 10, 1996",Everton,https://fbref.com/en/players/1691b0ef/,https://fbref.com/req/202302030/images/headshots/1691b0ef_2022.jpg
Charlotte Grant,bb9ba109,168cm,,"September 20, 2001",Tottenham Hotspur,https://fbref.com/en/players/bb9ba109/,https://fbref.com/req/202302030/images/headshots/bb9ba109_2022.jpg
Chasity Grant,6c2d3081,,,"April 19, 2001",Aston Villa,https://fbref.com/en/players/6c2d3081/,media/logos/silueta.jpg
Josephine Green,90ca21de,,,"April 25, 1993",Crystal Palace,https://fbref.com/en/players/90ca21de/,media/logos/silueta.jpg
Alex Greenwood,d935ee5a,168cm,62kg,"September 7, 1993",Manchester City,https://fbref.com/en/players/d935ee5a/,https://fbref.com/req/202302030/images/headshots/d935ee5a_2022.jpg
Lenna Gunning-Williams,0e0577f9,,,"February 5, 2005",Tottenham Hotspur,https://fbref.com/en/players/0e0577f9/,media/logos/silueta.jpg
Madison Haley,5e8dd2d2,,,"August 21, 1998",Brighton & Hove Albion,https://fbref.com/en/players/5e8dd2d2/,media/logos/silueta.jpg
Maika Hamano,ecbfbc1a,162cm,48kg,"May 9, 2004",Chelsea,https://fbref.com/en/players/ecbfbc1a/,https://fbref.com/req/202302030/images/headshots/ecbfbc1a_2022.jpg
Hannah Hampton,87f3ffa4,173cm,,"November 16, 2000",Chelsea,https://fbref.com/en/players/87f3ffa4/,https://fbref.com/req/202302030/images/headshots/87f3ffa4_2022.jpg
Kirsty Hanson,2457a6c7,163cm,58kg,"April 17, 1998",Aston Villa,https://fbref.com/en/players/2457a6c7/,media/logos/silueta.jpg
Emma Harries,c17af8e0,178cm,,"March 29, 2002",West Ham United,https://fbref.com/en/players/c17af8e0/,media/logos/silueta.jpg
Yui Hasegawa,13633403,156cm,45kg,"January 29, 1997",Manchester City,https://fbref.com/en/players/13633403/,https://fbref.com/req/202302030/images/headshots/13633403_2022.jpg
Honoka Hayashi,eb7fd1c4,157cm,50kg,"May 19, 1998",Everton,https://fbref.com/en/players/eb7fd1c4/,https://fbref.com/req/202302030/images/headshots/eb7fd1c4_2022.jpg
Caitlin Hayes,69924ef0,,,"September 22, 1995",Brighton & Hove Albion,https://fbref.com/en/players/69924ef0/,media/logos/silueta.jpg
Eleanor Heeps,8aee792b,,,"August 4, 2003",Tottenham Hotspur,https://fbref.com/en/players/8aee792b/,media/logos/silueta.jpg
Lauren Hemp,d979e267,163cm,58kg,"August 7, 2000",Manchester City,https://fbref.com/en/players/d979e267/,https://fbref.com/req/202302030/images/headshots/d979e267_2022.jpg
Taylor Hinds,a760a666,160cm,,"September 25, 1999",Liverpool,https://fbref.com/en/players/a760a666/,media/logos/silueta.jpg
Marie Höbinger,153d4f38,,,"July 1, 2001",Liverpool,https://fbref.com/en/players/153d4f38/,https://fbref.com/req/202302030/images/headshots/153d4f38_2022.jpg
Isabella Hobson,a596588e,,,"October 31, 2007",Everton,https://fbref.com/en/players/a596588e/,media/logos/silueta.jpg
Olivia Holdt,2086bd78,,,"June 7, 2001",Tottenham Hotspur,https://fbref.com/en/players/2086bd78/,media/logos/silueta.jpg
Ceri Holland,7a9c5b5c,,,"December 12, 1997",Liverpool,https://fbref.com/en/players/7a9c5b5c/,media/logos/silueta.jpg
Karen Holmgaard,c75c305a,,,,,https://fbref.com/en/players/c75c305a/,media/logos/silueta.jpg
Sara Holmgaard,ad0ed89a,,,"January 28, 1999",Everton,https://fbref.com/en/players/ad0ed89a/,https://fbref.com/req/202302030/images/headshots/ad0ed89a_2022.jpg
Shanade Hopcroft,3302c621,160cm,,"October 4, 1997",Crystal Palace,https://fbref.com/en/players/3302c621/,media/logos/silueta.jpg
Sophie Howard,4b98901d,175cm,,"September 17, 1993",Leicester City,https://fbref.com/en/players/4b98901d/,https://fbref.com/req/202302030/images/headshots/4b98901d_2022.jpg
Elise Hughes,f38faa55,,,"April 15, 2001",Crystal Palace,https://fbref.com/en/players/f38faa55/,media/logos/silueta.jpg
Clare Hunt,449f55a1,176cm,,"March 12, 1999",Tottenham Hotspur,https://fbref.com/en/players/449f55a1/,https://fbref.com/req/202302030/images/headshots/449f55a1_2022.jpg
Lina Hurtig,2d28fd4d,178cm,50kg,"September 5, 1995",Arsenal,https://fbref.com/en/players/2d28fd4d/,https://fbref.com/req/202302030/images/headshots/2d28fd4d_2022.jpg
Celin Ildhusøy,827f4be5,175cm,58kg,"October 24, 2001",Manchester United,https://fbref.com/en/players/827f4be5/,https://fbref.com/req/202302030/images/headshots/827f4be5_2022.jpg
Amanda Ilestedt,93514385,178cm,64kg,"January 17, 1993",Arsenal,https://fbref.com/en/players/93514385/,https://fbref.com/req/202302030/images/headshots/93514385_2022.jpg
Lauren James,d6c2ee71,175cm,66kg,"September 29, 2001",Chelsea,https://fbref.com/en/players/d6c2ee71/,https://fbref.com/req/202302030/images/headshots/d6c2ee71_2022.jpg
Dominique Janssen,800b668b,174cm,64kg,"January 17, 1995",Manchester United,https://fbref.com/en/players/800b668b/,https://fbref.com/req/202302030/images/headshots/800b668b_2022.jpg
Oriane Jean-François,87c4fdaf,164cm,58kg,"August 14, 2001",Chelsea,https://fbref.com/en/players/87c4fdaf/,media/logos/silueta.jpg
Anna Júlia Csiki,353a0455,,,"November 14, 1999",Tottenham Hotspur,https://fbref.com/en/players/353a0455/,media/logos/silueta.jpg
Sammy Kaczmar,9016fa39,,,,Leicester City,https://fbref.com/en/players/9016fa39/,media/logos/silueta.jpg
Cornelia Kapocs,f2cc3330,,,"July 13, 2000",Liverpool,https://fbref.com/en/players/f2cc3330/,https://fbref.com/req/202302030/images/headshots/f2cc3330_2022.jpg
Wieke Kaptein,e3ee2c6c,171cm,,"August 29, 2005",Chelsea,https://fbref.com/en/players/e3ee2c6c/,https://fbref.com/req/202302030/images/headshots/e3ee2c6c_2022.jpg
Khiara Keating,20b9158f,,,"June 27, 2004",Manchester City,https://fbref.com/en/players/20b9158f/,media/logos/silueta.jpg
Sari Kees,eaae21eb,,,"February 17, 2001",Leicester City,https://fbref.com/en/players/eaae21eb/,https://fbref.com/req/202302030/images/headshots/eaae21eb_2022.jpg
Chloe Kelly,9ff67bf9,168cm,58kg,"January 5, 1998",Manchester City,https://fbref.com/en/players/9ff67bf9/,https://fbref.com/req/202302030/images/headshots/9ff67bf9_2022.jpg
Alanna Kennedy,8252bc62,176cm,63kg,"January 21, 1995",Angel City FC,https://fbref.com/en/players/8252bc62/,https://fbref.com/req/202302030/images/headshots/8252bc62_2022.jpg
Kerolin,ef1ec0d9,162cm,,"November 17, 1999",Manchester City,https://fbref.com/en/players/ef1ec0d9/,https://fbref.com/req/202302030/images/headshots/ef1ec0d9_2022.jpg
Samantha Kerr,3d4ffba1,,,"April 17, 1999",Liverpool,https://fbref.com/en/players/3d4ffba1/,https://fbref.com/req/202302030/images/headshots/3d4ffba1_2022.jpg
Leanne Kiernan,be519a1d,,,"April 27, 1999",Liverpool,https://fbref.com/en/players/be519a1d/,media/logos/silueta.jpg
Fran Kirby,bd91e11f,157cm,58kg,"June 29, 1993",Brighton & Hove Albion,https://fbref.com/en/players/bd91e11f/,https://fbref.com/req/202302030/images/headshots/bd91e11f_2022.jpg
Rebecca Knaak,9ac854c2,175cm,,"June 23, 1996",Manchester City,https://fbref.com/en/players/9ac854c2/,https://fbref.com/req/202302030/images/headshots/9ac854c2_2022.jpg
Lize Kop,4b78a53c,173cm,63kg,"March 17, 1998",Tottenham Hotspur,https://fbref.com/en/players/4b78a53c/,https://fbref.com/req/202302030/images/headshots/4b78a53c_2022.jpg
Kathrine Kühl,5b5cd763,175cm,,"July 5, 2003",AS Roma,https://fbref.com/en/players/5b5cd763/,https://fbref.com/req/202302030/images/headshots/5b5cd763_2022.jpg
Hayley Ladd,1e4d1c4c,172cm,,"October 6, 1993",Everton,https://fbref.com/en/players/1e4d1c4c/,media/logos/silueta.jpg
Clarissa Larisey,d3ad7acb,163cm,,"July 2, 1999",Crystal Palace,https://fbref.com/en/players/d3ad7acb/,media/logos/silueta.jpg
Abbie Larkin,aae4f570,167cm,,"April 27, 2005",Crystal Palace,https://fbref.com/en/players/aae4f570/,https://fbref.com/req/202302030/images/headshots/aae4f570_2022.jpg
Nelly Las,df756c76,168cm,,"December 17, 2007",Leicester City,https://fbref.com/en/players/df756c76/,https://fbref.com/req/202302030/images/headshots/df756c76_2022.jpg
Melissa Lawley,6ca0cbee,168cm,,"April 28, 1994",Everton,https://fbref.com/en/players/6ca0cbee/,media/logos/silueta.jpg
Ashley Lawrence,c219a715,164cm,58kg,"June 11, 1995",Chelsea,https://fbref.com/en/players/c219a715/,https://fbref.com/req/202302030/images/headshots/c219a715_2022.jpg
Rachael Laws,7b45e2ca,,,"November 5, 1990",Liverpool,https://fbref.com/en/players/7b45e2ca/,media/logos/silueta.jpg
Naomi Layzell,2434d456,,,"February 29, 2004",Manchester City,https://fbref.com/en/players/2434d456/,media/logos/silueta.jpg
Maya Le Tissier,087316e6,171cm,58kg,"April 18, 2002",Manchester United,https://fbref.com/en/players/087316e6/,media/logos/silueta.jpg
Janina Leitzig,f2b936c8,184cm,,"April 16, 1999",Leicester City,https://fbref.com/en/players/f2b936c8/,https://fbref.com/req/202302030/images/headshots/f2b936c8_2022.jpg
Adriana Leon,15c7bfb7,160cm,,"October 2, 1992",San Diego Wave,https://fbref.com/en/players/15c7bfb7/,https://fbref.com/req/202302030/images/headshots/15c7bfb7_2022.jpg
Kim Little,bef86627,162cm,59kg,"June 29, 1990",Arsenal,https://fbref.com/en/players/bef86627/,https://fbref.com/req/202302030/images/headshots/bef86627_2022.jpg
Melina Loeck,82077469,,,"July 1, 2000",Brighton & Hove Albion,https://fbref.com/en/players/82077469/,https://fbref.com/req/202302030/images/headshots/82077469_2022.jpg
Vicky Losada,8b27176a,168cm,60kg,"March 5, 1991",Brighton & Hove Albion,https://fbref.com/en/players/8b27176a/,https://fbref.com/req/202302030/images/headshots/8b27176a_2022.jpg
Sofie Lundgaard,c6bb8a64,,,"May 29, 2002",Liverpool,https://fbref.com/en/players/c6bb8a64/,https://fbref.com/req/202302030/images/headshots/bde2e992_2022.jpg
Frida Maanum,fb583d6d,,,,,https://fbref.com/en/players/fb583d6d/,media/logos/silueta.jpg
Catarina Macario,22c5e558,170cm,,"October 4, 1999",Chelsea,https://fbref.com/en/players/22c5e558/,media/logos/silueta.jpg
Ruby Mace,e5a62c31,168cm,58kg,"September 5, 2003",Leicester City,https://fbref.com/en/players/e5a62c31/,https://fbref.com/req/202302030/images/headshots/e5a62c31_2022.jpg
Rikke Madsen,adc2166f,172cm,,"August 9, 1997",Everton,https://fbref.com/en/players/adc2166f/,https://fbref.com/req/202302030/images/headshots/adc2166f_2022.jpg
Milla-Maj Majasaari,e3948285,,,"October 15, 1999",Crystal Palace,https://fbref.com/en/players/e3948285/,media/logos/silueta.jpg
Melvine Malard,e99919aa,171cm,62kg,"June 28, 2000",Manchester United,https://fbref.com/en/players/e99919aa/,https://fbref.com/req/202302030/images/headshots/e99919aa_2022.jpg
Aoife Mannion,65be012f,168cm,55kg,"September 24, 1995",Manchester United,https://fbref.com/en/players/65be012f/,https://fbref.com/req/202302030/images/headshots/65be012f_2022.jpg
Noelle Maritz,41d5abd2,165cm,59kg,"December 23, 1995",Aston Villa,https://fbref.com/en/players/41d5abd2/,https://fbref.com/req/202302030/images/headshots/41d5abd2_2022.jpg
Shekiera Martinez,7fe47b81,,,"July 4, 2001",West Ham United,https://fbref.com/en/players/7fe47b81/,https://fbref.com/req/202302030/images/headshots/7fe47b81_2022.jpg
Aisha Masaka,69076287,175cm,,"November 3, 2003",Brighton & Hove Albion,https://fbref.com/en/players/69076287/,media/logos/silueta.jpg
Jasmine Matthews,208e9d61,168cm,57kg,"March 24, 1993",Liverpool,https://fbref.com/en/players/208e9d61/,media/logos/silueta.jpg
Sarah Mayling,5aad26a6,,,"March 20, 1997",Aston Villa,https://fbref.com/en/players/5aad26a6/,media/logos/silueta.jpg
Katie McCabe,cb3a3ff4,164cm,,"September 21, 1995",Arsenal,https://fbref.com/en/players/cb3a3ff4/,https://fbref.com/req/202302030/images/headshots/cb3a3ff4_2022.jpg
Rachel McLauchlan,aa88eabb,,,"July 7, 1997",Brighton & Hove Albion,https://fbref.com/en/players/aa88eabb/,https://fbref.com/req/202302030/images/headshots/aa88eabb_2022.jpg
Beth Mead,921c8f1d,163cm,58kg,"May 9, 1995",Arsenal,https://fbref.com/en/players/921c8f1d/,https://fbref.com/req/202302030/images/headshots/921c8f1d_2022.jpg
Li Mengwen,6c8f2306,166cm,57kg,"March 28, 1995",West Ham United,https://fbref.com/en/players/6c8f2306/,https://fbref.com/req/202302030/images/headshots/6c8f2306_2022.jpg
Kristie Mewis,cd5e683b,170cm,63kg,"February 25, 1991",West Ham United,https://fbref.com/en/players/cd5e683b/,https://fbref.com/req/202302030/images/headshots/cd5e683b_2022.jpg
Teagan Micah,37b074b8,176cm,63kg,"October 20, 1997",Liverpool,https://fbref.com/en/players/37b074b8/,https://fbref.com/req/202302030/images/headshots/37b074b8_2022.jpg
Vivianne Miedema,fa4e4c0a,167cm,62kg,"July 15, 1996",Manchester City,https://fbref.com/en/players/fa4e4c0a/,https://fbref.com/req/202302030/images/headshots/fa4e4c0a_2022.jpg
Hinata Miyazawa,7aeade6f,160cm,48kg,"November 28, 1999",Manchester United,https://fbref.com/en/players/7aeade6f/,https://fbref.com/req/202302030/images/headshots/7aeade6f_2022.jpg
